product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
HONOR Play 60A 5G,HONOR,5959000,4,128,6.75,720x1600,Dimensity 6300 (6 nm),"Android 15, MagicOS 9",13 MP,5 MP,5300,167x77x7.9,186,5,1,https://www.duchuymobile.com/images/detailed/88/honor-play-60a.jpg
OPPO A6x,OPPO,3199000,4,64,6.75,720x1570,Snapdragon 685 8 nhân,Android 15,13 MP,5MP,6100,166.6x78.5x8.61,205,5,1,https://www.duchuymobile.com/images/detailed/88/oppo-a6x-4g.jpg
HONOR X9d 5G,HONOR,6799000,8,256,6.79,1200x2640,Snapdragon 6 Gen 4 (4 nm),"Android 15, Magic OS 9",108 + 5 MP,"16 MP, f/2.5, (wide)",8300,161.9x76.1x7.76,193,5,1,https://www.duchuymobile.com/images/detailed/88/honor-x9d-den_0kho-74.jpg
Realme Narzo 90 5G,Realme,4929000,6,128,6.57,1080x2372,Dimensity 6400 Max (6 nm),"Android 15, Realme UI 6.0",50 MP + Auxiliary lens,"50 MP, f/2.4",7000,158.4x75.2x7.8,181,5,1,https://www.duchuymobile.com/images/detailed/88/realme-narzo-90-5g.JPG
Realme Narzo 90x 5G,Realme,4059000,6,128,6.8,720x1570,Dimensity 6300 (6 nm),"Android 15, Realme UI 6.0",50 MP,8 MP,7000,166.1x77.9x8.3,212,5,1,https://www.duchuymobile.com/images/detailed/88/realme-narzo-90x-5g.jpg
Xiaomi 17 Pro 5G,Xiaomi,18499000,12,256,6.73,1440x3200,Snapdragon 8 Elite (3 nm),"Android 15, HyperOS 2",Leica lens 50+50+50 MP,"32 MP, f/2.0, 22mm (wide), 0.7µm",6100,161.3x75.3x8.4,213,5,1,https://www.duchuymobile.com/images/detailed/85/dien-thoai-xiaomi-17-pro-256gb.png
Xiaomi 17 5G,Xiaomi,17799000,12,512,6.3,1220x2656,Snapdragon 8 Elite Gen 5,"Android 16, HyperOS 3",Leica 50M + 50MP + 50MP,"50 MP, f/2.2, 21mm (wide), PDAF",7000,151.1x71.8x8.1,191,5,1,https://www.duchuymobile.com/images/detailed/85/dien-thoai-xiaomi-17-5g-512gb.png
Xiaomi 15T 5G,Xiaomi,9799000,12,512,6.83,1280x2772,Dimensity 8400 Ultra (4 nm),"Android 15, HyperOS 2",50 + 50 + 12 MP Leica lens,32 MP,5500,163.2x78x7.5,194,5,3,https://www.duchuymobile.com/images/detailed/85/xiaomi-15t-5g-den.jpg
Xiaomi 15T 5G,Xiaomi,9599000,12,256,6.83,1280x2772,Dimensity 8400 Ultra (4 nm),"Android 15, HyperOS 2",50 + 50 + 12 MP Leica lens,32 MP,5500,163.2x78x7.5,194,5,4,https://www.duchuymobile.com/images/detailed/85/xiaomi-15t-5g-vang-hong.jpg
Xiaomi 15T Pro 5G,Xiaomi,13499000,12,512,6.83,1280x2772,Dimensity 9400+ (3 nm),"Android 15, HyperOS 2",50 + 50 + 12 MP Leica lens,"32 MP, (wide)",5500,162.7x77.9x7.96,210,5,3,https://www.duchuymobile.com/images/detailed/85/xiaomi-15t-pro-xam.JPG
